new_la_code,la_name,region_name,fairness_combined,Local authority,positive_proportion,inspection_norm,gender_equity_index_refined,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
E08000010,Wigan,North West,0.596967035890984,Wigan,0.7916666666666666,0.4517543859649122,0.5461426084168588,0.596967035890984,0.4517543859649122,3,50.015860260693614
E08000011,Knowsley,North West,0.4088689223471287,Knowsley,0.6842105263157895,0.1689750692520776,0.3249060737638609,0.4088689223471287,0.1689750692520776,3,24.893968695042798
E08000012,Liverpool,North West,0.4668386500058219,Liverpool,0.7806451612903226,0.4227504244482173,0.4514077710606603,0.4668386500058219,0.4227504244482173,3,43.74464996340855
E08000013,St. Helens,North West,0.5135231799550513,,,,,0.5135231799550513,,1,51.352317995505125
E08000014,Sefton,North West,0.5287275413984396,Sefton,0.8734177215189873,0.6668887408394404,0.5770839612027898,0.5287275413984396,0.6668887408394404,3,62.08350076924402
E08000015,Wirral,North West,0.441607571941062,Wirral,0.78,0.4210526315789474,0.4344133428143218,0.441607571941062,0.4210526315789474,3,42.79042783663189
E08000016,Barnsley,Yorkshire and The Humber,0.6400015850698744,Barnsley,0.8701298701298701,0.6582365003417634,0.6463838054150355,0.6400015850698744,0.6582365003417634,3,65.21581952511337
E08000017,Doncaster,Yorkshire and The Humber,0.6829839955505266,Doncaster,0.7685185185185185,0.3908382066276802,0.5807329694275304,0.6829839955505266,0.3908382066276802,3,48.82201362686291
E08000018,Rotherham,Yorkshire and The Humber,0.5181485864320214,Rotherham,0.7111111111111111,0.2397660818713451,0.4207147098357847,0.5181485864320214,0.2397660818713451,3,33.256025005823716
E08000019,Sheffield,Yorkshire and The Humber,0.5830288456731603,Sheffield,0.7712418300653595,0.3980048159614724,0.5182704352740695,0.5830288456731603,0.3980048159614724,3,45.96794925320351
E08000021,Newcastle upon Tyne,North East,0.4964116817059257,Newcastle upon Tyne,0.6486486486486487,0.0753911806543386,0.3490545063378703,0.4964116817059257,0.0753911806543386,3,21.57313476715343
E08000022,North Tyneside,North East,0.503743896135171,North Tyneside,0.75,0.3421052631578947,0.4471703745931243,0.503743896135171,0.3421052631578947,3,39.59848074836535
E08000023,South Tyneside,North East,0.4586214893514014,South Tyneside,0.74,0.3157894736842105,0.4086302838678846,0.4586214893514014,0.3157894736842105,3,36.34001455732741
E08000024,Sunderland,North East,0.6137454235214657,Sunderland,0.8191489361702128,0.5240761478163495,0.582361177024675,0.6137454235214657,0.5240761478163495,3,55.39659063847214
E08000025,Birmingham,West Midlands,0.4273951405037378,Birmingham,0.8140703517587939,0.5107114519968262,0.4565558495263187,0.4273951405037378,0.5107114519968262,3,48.29393481657968
E08000026,Coventry,West Midlands,0.399600802732571,Coventry,0.7549019607843137,0.3550051599587203,0.3839923277617232,0.399600802732571,0.3550051599587203,3,36.987037421667054
E08000027,Dudley,West Midlands,0.554490316928854,Dudley,0.7857142857142857,0.4360902255639097,0.5130502849511235,0.554490316928854,0.4360902255639097,3,47.555692268555774
E08000028,Sandwell,West Midlands,0.520760478078094,Sandwell,0.7477477477477478,0.3361782835467046,0.4561567099921078,0.520760478078094,0.3361782835467046,3,39.77056817238344
E08000029,Solihull,West Midlands,0.4425822725465422,Solihull,0.7384615384615385,0.3117408906882592,0.3967877888961432,0.4425822725465422,0.3117408906882592,3,35.535468464102024
E08000030,Walsall,West Midlands,0.578467924810388,Walsall,0.8380952380952381,0.5739348370927319,0.5768813441092083,0.578467924810388,0.5739348370927319,3,57.54458663319505
E08000031,Wolverhampton,West Midlands,0.317975724390609,Wolverhampton,0.797752808988764,0.4677705499704315,0.3704039133435469,0.317975724390609,0.4677705499704315,3,41.7838941443824
E08000032,Bradford,Yorkshire and The Humber,0.4824271066444251,Bradford,0.7621951219512195,0.3741976893453145,0.4445468105897364,0.4824271066444251,0.3741976893453145,3,41.02741617783514
E08000033,Calderdale,Yorkshire and The Humber,0.521722183791834,Calderdale,0.8505747126436781,0.6067755595886266,0.5514908653207113,0.521722183791834,0.6067755595886266,3,57.8424434323029
