la_name,fairness_combined,inspection_norm,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
Cambridgeshire,0.5758517535738016,0.4152046783625731,0.5758517535738016,0.4152046783625731,3,46.87537034329826
Derbyshire,0.6124215953571271,0.3812434769643655,0.6124215953571271,0.3812434769643655,3,45.83028497619527
Devon,0.5802482453458246,0.2653896224660592,0.5802482453458246,0.2653896224660592,3,37.034249675931434
East Sussex,0.6177909679089524,0.3298463550179796,0.6177909679089524,0.3298463550179796,3,42.58278926483038
Essex,0.5953192104366261,0.5120614035087719,0.5953192104366261,0.5120614035087719,3,53.98140058180566
Gloucestershire,0.3722001988531531,0.4028340080971661,0.3722001988531531,0.4028340080971661,3,39.26227383491618
Hampshire,0.5667266448478672,0.4551809210526316,0.5667266448478672,0.4551809210526316,3,49.236282898437686
Hertfordshire,0.4925121376047225,0.5031666302686176,0.4925121376047225,0.5031666302686176,3,49.961513271398594
Kent,0.6198346085752073,0.4667065390749602,0.6198346085752073,0.4667065390749602,3,51.774922890837594
Lancashire,0.5209439119204895,0.4450097123300341,0.5209439119204895,0.4450097123300341,3,47.03211121935192
Leicestershire,0.6223968100171805,0.3252361673414305,0.6223968100171805,0.3252361673414305,3,42.42897149000138
Lincolnshire,0.5262954442502462,0.30198973042362,0.5262954442502462,0.30198973042362,3,37.67583016991621
Norfolk,0.4978930730965027,0.254510213210079,0.4978930730965027,0.254510213210079,3,33.563783317222025
Nottinghamshire,0.5086296089943709,0.4237418363426816,0.5086296089943709,0.4237418363426816,3,45.203776055991135
Oxfordshire,0.4376291299291726,0.5596969076387468,0.4376291299291726,0.5596969076387468,3,51.9007648402222
Staffordshire,0.4694236253040774,0.4090489381348106,0.4694236253040774,0.4090489381348106,3,42.91738338578995
Suffolk,0.5932191760611907,0.3808049535603713,0.5932191760611907,0.3808049535603713,3,45.160969439397775
Surrey,0.6197139499087104,0.5541178527714635,0.6197139499087104,0.5541178527714635,3,57.598321848387926
Warwickshire,0.525191668682859,0.3956182321833292,0.525191668682859,0.3956182321833292,3,43.88093776831725
West Sussex,0.5438355953001779,0.4778613199665832,0.5438355953001779,0.4778613199665832,3,49.98527450777814
Worcestershire,0.491072839706962,0.2704533611255862,0.491072839706962,0.2704533611255862,3,34.39931873193782
